province,region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
British Columbia,Alberni-Clayoquot,2020-02-15,30,,,,,
British Columbia,Alberni-Clayoquot,2020-02-16,50,,,,,
British Columbia,Alberni-Clayoquot,2020-02-17,30,7,,,-47,
British Columbia,Alberni-Clayoquot,2020-02-18,21,7,,,5,
British Columbia,Alberni-Clayoquot,2020-02-19,29,17,,,8,
British Columbia,Alberni-Clayoquot,2020-02-20,30,8,,,5,
British Columbia,Alberni-Clayoquot,2020-02-21,22,9,,,5,
British Columbia,Alberni-Clayoquot,2020-02-22,19,,,,,
British Columbia,Alberni-Clayoquot,2020-02-23,25,,,,,
British Columbia,Alberni-Clayoquot,2020-02-24,11,7,,,7,
British Columbia,Alberni-Clayoquot,2020-02-25,11,1,,,6,
British Columbia,Alberni-Clayoquot,2020-02-26,12,8,,,8,
British Columbia,Alberni-Clayoquot,2020-02-27,8,1,,,6,
British Columbia,Alberni-Clayoquot,2020-02-28,5,5,,,7,
British Columbia,Alberni-Clayoquot,2020-02-29,13,,,,,
British Columbia,Alberni-Clayoquot,2020-03-01,20,,,,,
British Columbia,Alberni-Clayoquot,2020-03-02,11,3,,,5,
British Columbia,Alberni-Clayoquot,2020-03-03,11,5,,,6,
British Columbia,Alberni-Clayoquot,2020-03-04,9,4,,,6,
British Columbia,Alberni-Clayoquot,2020-03-05,9,-4,,,6,
British Columbia,Alberni-Clayoquot,2020-03-06,9,4,,,9,
British Columbia,Alberni-Clayoquot,2020-03-07,13,,,,,
British Columbia,Alberni-Clayoquot,2020-03-08,22,,,,,
British Columbia,Alberni-Clayoquot,2020-03-09,8,9,,,2,
British Columbia,Alberni-Clayoquot,2020-03-10,10,0,,,5,
British Columbia,Alberni-Clayoquot,2020-03-11,10,15,,,10,
British Columbia,Alberni-Clayoquot,2020-03-12,17,18,,,8,
British Columbia,Alberni-Clayoquot,2020-03-13,13,24,,,5,
British Columbia,Alberni-Clayoquot,2020-03-14,12,,,,,
British Columbia,Alberni-Clayoquot,2020-03-15,21,,,,,
British Columbia,Alberni-Clayoquot,2020-03-16,19,38,,,-13,
British Columbia,Alberni-Clayoquot,2020-03-17,9,38,,,-19,
British Columbia,Alberni-Clayoquot,2020-03-18,-9,19,,,-20,
British Columbia,Alberni-Clayoquot,2020-03-19,-21,2,,,-25,
British Columbia,Alberni-Clayoquot,2020-03-20,-29,2,,,-28,
British Columbia,Alberni-Clayoquot,2020-03-21,-44,,,,-28,
British Columbia,Alberni-Clayoquot,2020-03-22,-52,,,,,
British Columbia,Alberni-Clayoquot,2020-03-23,-48,-27,,,-41,
British Columbia,Alberni-Clayoquot,2020-03-24,-47,-23,,,-46,
British Columbia,Alberni-Clayoquot,2020-03-25,-43,-20,,,-44,
British Columbia,Alberni-Clayoquot,2020-03-26,-50,-26,,,-48,
British Columbia,Alberni-Clayoquot,2020-03-27,-50,-20,,,-47,
British Columbia,Alberni-Clayoquot,2020-03-28,-59,,-41,,-40,
British Columbia,Alberni-Clayoquot,2020-03-29,-53,,,,-43,
British Columbia,Alberni-Clayoquot,2020-03-30,-51,-24,,,-47,
British Columbia,Alberni-Clayoquot,2020-03-31,-42,-26,,,-45,
British Columbia,Alberni-Clayoquot,2020-04-01,-48,-19,,,-45,
British Columbia,Alberni-Clayoquot,2020-04-02,-47,-25,,,-48,
British Columbia,Alberni-Clayoquot,2020-04-03,-43,-20,,,-46,
British Columbia,Alberni-Clayoquot,2020-04-04,-49,,-10,,-41,
British Columbia,Alberni-Clayoquot,2020-04-05,-45,,,,-47,
British Columbia,Alberni-Clayoquot,2020-04-06,-40,-26,,,-44,
British Columbia,Alberni-Clayoquot,2020-04-07,-38,-20,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-08,-38,-22,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-09,-25,-10,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-10,-48,-16,,,-66,
British Columbia,Alberni-Clayoquot,2020-04-11,-43,,22,,-41,
British Columbia,Alberni-Clayoquot,2020-04-12,-50,,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-13,-44,-29,,,-56,
British Columbia,Alberni-Clayoquot,2020-04-14,-35,-21,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-15,-35,-11,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-16,-34,-20,,,-36,
British Columbia,Alberni-Clayoquot,2020-04-17,-40,-20,,,-34,
British Columbia,Alberni-Clayoquot,2020-04-18,-42,,17,,-33,
British Columbia,Alberni-Clayoquot,2020-04-19,-36,,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-20,-33,-20,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-21,-32,-19,,,-33,
British Columbia,Alberni-Clayoquot,2020-04-22,-35,-12,,,-35,
British Columbia,Alberni-Clayoquot,2020-04-23,-34,-12,,,-35,
British Columbia,Alberni-Clayoquot,2020-04-24,-35,-9,,,-34,
British Columbia,Alberni-Clayoquot,2020-04-25,-45,,-32,,-31,
British Columbia,Alberni-Clayoquot,2020-04-26,-36,,,,,
British Columbia,Alberni-Clayoquot,2020-04-27,-30,-18,,,-36,
British Columbia,Alberni-Clayoquot,2020-04-28,-27,-10,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-29,-29,-10,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-30,-26,-13,,,-35,
British Columbia,Alberni-Clayoquot,2020-05-01,-30,-17,,,-32,
British Columbia,Alberni-Clayoquot,2020-05-02,-42,,-11,,-34,
British Columbia,Alberni-Clayoquot,2020-05-03,-32,,,,,
British Columbia,Alberni-Clayoquot,2020-05-04,-31,-14,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-05,-22,-11,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-06,-26,-7,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-07,-23,-8,,,-30,
British Columbia,Alberni-Clayoquot,2020-05-08,-22,-6,,,-25,
British Columbia,Alberni-Clayoquot,2020-05-09,-21,,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-11,-30,-11,,,-32,
British Columbia,Alberni-Clayoquot,2020-05-12,-24,-6,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-13,-22,-7,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-14,-19,-8,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-15,-21,-3,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-16,-33,,-20,,-34,
British Columbia,Alberni-Clayoquot,2020-05-18,,,,,-62,
British Columbia,Alberni-Clayoquot,2020-05-19,,-4,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-20,-13,4,,,-26,
British Columbia,Alberni-Clayoquot,2020-05-21,-10,-3,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-22,-15,-2,,,-22,
British Columbia,Alberni-Clayoquot,2020-05-23,-21,,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-25,,5,,,-25,
British Columbia,Alberni-Clayoquot,2020-05-26,,-3,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-27,,10,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-28,1,10,,,-21,
British Columbia,Alberni-Clayoquot,2020-05-29,-11,3,,,-20,
British Columbia,Alberni-Clayoquot,2020-05-30,-14,,,,,
British Columbia,Alberni-Clayoquot,2020-06-01,,5,,,-21,
British Columbia,Alberni-Clayoquot,2020-06-02,,-1,,,-24,
British Columbia,Alberni-Clayoquot,2020-06-03,,5,,,-19,
British Columbia,Alberni-Clayoquot,2020-06-04,-5,-1,,,-20,
