date,key_apple_mobility,key_google_mobility,id,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_alpha_2,key_numeric,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,walking,transit
2020-03-11,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,0,,0,,,,158158,0,0,0,0,0,0,0,1,2,2,1,13.89,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-1,0,,,0,1,112.23,,
2020-03-12,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,0,,0,,,,158158,0,0,2,0,0,0,0,1,2,2,1,22.22,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,8,16,,,0,0,107.63,,
2020-03-13,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,0,,0,,,,158158,0,0,2,0,0,0,0,1,2,2,1,22.22,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-5,35,,,-3,3,108.8,,
2020-03-14,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,0,,0,,,,158158,0,0,2,0,0,1,0,1,2,2,1,24.07,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-17,11,,,-4,,104.16,,
2020-03-15,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,1,,0,,,,158158,0,0,2,0,0,1,0,1,2,2,1,24.07,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-3,18,,,2,,77.46,,
2020-03-16,Prince Edward Island,"CA, Prince Edward Island",015d95fc,6,1,,0,,,,158158,3,0,2,3,0,1,0,1,2,2,1,43.52,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-18,14,,,-24,9,79.49,,
2020-03-17,Prince Edward Island,"CA, Prince Edward Island",015d95fc,75,1,,0,,,,158158,3,0,2,3,0,1,0,1,2,2,1,43.52,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-31,8,,,-35,12,81.93,,
2020-03-18,Prince Edward Island,"CA, Prince Edward Island",015d95fc,75,1,,0,,,,158158,3,3,2,3,0,1,0,4,2,2,1,61.11,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-31,7,,,-42,14,78.61,,
2020-03-19,Prince Edward Island,"CA, Prince Edward Island",015d95fc,75,2,,0,,,,158158,3,3,2,3,0,1,0,4,2,3,1,61.11,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-43,-10,,,-48,16,75.92,,
2020-03-20,Prince Edward Island,"CA, Prince Edward Island",015d95fc,75,2,,0,,,,158158,3,3,2,3,0,1,2,4,2,3,1,71.3,CAN,CA,124,CAD,2,Canada,Prince Edward Island,,46.5107,-63.4168,,,,,CA-PE,,-57,-21,,,-51,22,66.38,,
