"","region","population","area","pop_density","date","weekday","new_cases","retail.rec","grocery.pharm","parks","transit","workplaces","residential","new_rs","rsf7","rsp1","rsp2","rsp3","rsp4","rsp5","rsp6","rsp7"
"1","Durham",697355,2524,276.289619651347,2020-02-15,"Saturday",0,4,6,18,6,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Durham",697355,2524,276.289619651347,2020-02-16,"Sunday",0,15,13,29,1,-2,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Durham",697355,2524,276.289619651347,2020-02-17,"Monday",0,-24,-42,52,-47,-75,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Durham",697355,2524,276.289619651347,2020-02-18,"Tuesday",0,0,12,-1,0,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Durham",697355,2524,276.289619651347,2020-02-19,"Wednesday",0,2,6,-1,-4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Durham",697355,2524,276.289619651347,2020-02-20,"Thursday",0,4,7,4,-1,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Durham",697355,2524,276.289619651347,2020-02-21,"Friday",0,1,-3,-4,-2,-6,1,0,2,NA,NA,NA,NA,NA,NA,NA
"8","Durham",697355,2524,276.289619651347,2020-02-22,"Saturday",0,9,8,43,18,9,-2,0,2,0,NA,NA,NA,NA,NA,NA
"9","Durham",697355,2524,276.289619651347,2020-02-23,"Sunday",0,11,3,48,9,6,-2,0,2,0,0,NA,NA,NA,NA,NA
"10","Durham",697355,2524,276.289619651347,2020-02-24,"Monday",1,3,2,19,-3,1,0,1,1,0,0,0,NA,NA,NA,NA
"11","Durham",697355,2524,276.289619651347,2020-02-25,"Tuesday",0,2,7,4,2,2,-1,1,1,1,0,0,0,NA,NA,NA
"12","Durham",697355,2524,276.289619651347,2020-02-26,"Wednesday",1,-8,-4,-11,-8,-3,3,2,0,1,1,0,0,0,NA,NA
"13","Durham",697355,2524,276.289619651347,2020-02-27,"Thursday",0,-13,-12,-19,-11,-10,5,2,0,2,1,1,0,0,0,NA
"14","Durham",697355,2524,276.289619651347,2020-02-28,"Friday",0,-11,-9,-16,-2,-3,3,2,2,2,2,1,1,0,0,0
"15","Durham",697355,2524,276.289619651347,2020-02-29,"Saturday",0,8,9,21,7,9,-1,2,4,2,2,2,1,1,0,0
"16","Durham",697355,2524,276.289619651347,2020-03-01,"Sunday",0,12,7,23,1,6,-1,2,5,2,2,2,2,1,1,0
"17","Durham",697355,2524,276.289619651347,2020-03-02,"Monday",0,2,4,0,-4,3,0,1,7,2,2,2,2,2,1,1
"18","Durham",697355,2524,276.289619651347,2020-03-03,"Tuesday",0,1,0,-7,-3,4,0,1,14,1,2,2,2,2,2,1
"19","Durham",697355,2524,276.289619651347,2020-03-04,"Wednesday",0,5,4,0,-3,5,-1,0,21,1,1,2,2,2,2,2
"20","Durham",697355,2524,276.289619651347,2020-03-05,"Thursday",0,5,6,19,-1,2,0,0,27,0,1,1,2,2,2,2
"21","Durham",697355,2524,276.289619651347,2020-03-06,"Friday",2,-2,-3,-1,-2,4,0,2,26,0,0,1,1,2,2,2
"22","Durham",697355,2524,276.289619651347,2020-03-07,"Saturday",2,10,8,45,7,9,-2,4,30,2,0,0,1,1,2,2
"23","Durham",697355,2524,276.289619651347,2020-03-08,"Sunday",1,11,5,79,5,4,-1,5,43,4,2,0,0,1,1,2
"24","Durham",697355,2524,276.289619651347,2020-03-09,"Monday",2,5,6,46,-3,3,0,7,54,5,4,2,0,0,1,1
"25","Durham",697355,2524,276.289619651347,2020-03-10,"Tuesday",7,1,3,-2,-6,2,1,14,57,7,5,4,2,0,0,1
"26","Durham",697355,2524,276.289619651347,2020-03-11,"Wednesday",7,5,10,4,-5,3,0,21,64,14,7,5,4,2,0,0
"27","Durham",697355,2524,276.289619651347,2020-03-12,"Thursday",6,9,41,30,-9,2,0,27,69,21,14,7,5,4,2,0
"28","Durham",697355,2524,276.289619651347,2020-03-13,"Friday",1,-3,46,10,-25,-13,5,26,84,27,21,14,7,5,4,2
"29","Durham",697355,2524,276.289619651347,2020-03-14,"Saturday",6,-10,27,38,-16,1,3,30,90,26,27,21,14,7,5,4
"30","Durham",697355,2524,276.289619651347,2020-03-15,"Sunday",14,-10,11,65,-20,-6,4,43,98,30,26,27,21,14,7,5
"31","Durham",697355,2524,276.289619651347,2020-03-16,"Monday",13,-9,30,32,-43,-31,11,54,96,43,30,26,27,21,14,7
"32","Durham",697355,2524,276.289619651347,2020-03-17,"Tuesday",10,-27,14,16,-52,-39,14,57,102,54,43,30,26,27,21,14
"33","Durham",697355,2524,276.289619651347,2020-03-18,"Wednesday",14,-32,2,19,-56,-43,17,64,101,57,54,43,30,26,27,21
"34","Durham",697355,2524,276.289619651347,2020-03-19,"Thursday",11,-34,6,29,-57,-47,18,69,101,64,57,54,43,30,26,27
"35","Durham",697355,2524,276.289619651347,2020-03-20,"Friday",16,-44,-5,0,-60,-49,21,84,101,69,64,57,54,43,30,26
"36","Durham",697355,2524,276.289619651347,2020-03-21,"Saturday",12,-48,-9,54,-47,-32,12,90,98,84,69,64,57,54,43,30
"37","Durham",697355,2524,276.289619651347,2020-03-22,"Sunday",22,-50,-24,28,-51,-36,11,98,91,90,84,69,64,57,54,43
"38","Durham",697355,2524,276.289619651347,2020-03-23,"Monday",11,-46,-11,-32,-68,-55,22,96,91,98,90,84,69,64,57,54
"39","Durham",697355,2524,276.289619651347,2020-03-24,"Tuesday",16,-47,-11,3,-66,-57,22,102,85,96,98,90,84,69,64,57
"40","Durham",697355,2524,276.289619651347,2020-03-25,"Wednesday",13,-53,-24,9,-68,-60,24,101,97,102,96,98,90,84,69,64
"41","Durham",697355,2524,276.289619651347,2020-03-26,"Thursday",11,-54,-18,-2,-70,-61,25,101,98,101,102,96,98,90,84,69
"42","Durham",697355,2524,276.289619651347,2020-03-27,"Friday",16,-54,-20,23,-67,-60,25,101,97,101,101,102,96,98,90,84
"43","Durham",697355,2524,276.289619651347,2020-03-28,"Saturday",9,-60,-26,-8,-59,-44,16,98,99,101,101,101,102,96,98,90
"44","Durham",697355,2524,276.289619651347,2020-03-29,"Sunday",15,-59,-37,-2,-63,-44,13,91,108,98,101,101,101,102,96,98
"45","Durham",697355,2524,276.289619651347,2020-03-30,"Monday",11,-54,-29,-37,-74,-62,25,91,111,91,98,101,101,101,102,96
"46","Durham",697355,2524,276.289619651347,2020-03-31,"Tuesday",10,-49,-19,-20,-69,-63,24,85,124,91,91,98,101,101,101,102
"47","Durham",697355,2524,276.289619651347,2020-04-01,"Wednesday",25,-47,-21,3,-68,-62,24,97,124,85,91,91,98,101,101,101
"48","Durham",697355,2524,276.289619651347,2020-04-02,"Thursday",12,-49,-19,10,-69,-62,25,98,142,97,85,91,91,98,101,101
"49","Durham",697355,2524,276.289619651347,2020-04-03,"Friday",15,-53,-24,-28,-71,-62,27,97,179,98,97,85,91,91,98,101
"50","Durham",697355,2524,276.289619651347,2020-04-04,"Saturday",11,-55,-25,-4,-57,-44,15,99,191,97,98,97,85,91,91,98
"51","Durham",697355,2524,276.289619651347,2020-04-05,"Sunday",24,-58,-35,3,-61,-44,13,108,195,99,97,98,97,85,91,91
"52","Durham",697355,2524,276.289619651347,2020-04-06,"Monday",14,-52,-24,-1,-70,-63,24,111,220,108,99,97,98,97,85,91
"53","Durham",697355,2524,276.289619651347,2020-04-07,"Tuesday",23,-50,-18,-13,-69,-63,24,124,229,111,108,99,97,98,97,85
