region,population,area,pop_density,date,weekday,new_cases,retail.rec,grocery.pharm,parks,transit,workplaces,residential,new_rs,rsf7,rsp1,rsp2,rsp3,rsp4,rsp5,rsp6,rsp7
Durham,697355,2524,276.2896197,2020-02-15,Saturday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-16,Sunday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-17,Monday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-18,Tuesday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-19,Wednesday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-20,Thursday,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-21,Friday,0,0.285714286,-0.142857143,13.85714286,-6.714285714,-11.14285714,2,0,2,NA,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-22,Saturday,0,1,0.142857143,17.42857143,-5,-10.14285714,1.857142857,0,2,0,NA,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-23,Sunday,0,0.428571429,-1.285714286,20.14285714,-3.857142857,-9,2,0,2,0,0,NA,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-24,Monday,1,4.285714286,5,15.42857143,2.428571429,1.857142857,-0.428571429,1,1,0,0,0,NA,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-25,Tuesday,0,4.571428571,4.285714286,16.14285714,2.714285714,2.428571429,-0.714285714,1,1,1,0,0,0,NA,NA,NA
Durham,697355,2524,276.2896197,2020-02-26,Wednesday,1,3.142857143,2.857142857,14.71428571,2.142857143,1.571428571,-0.285714286,2,0,1,1,0,0,0,NA,NA
Durham,697355,2524,276.2896197,2020-02-27,Thursday,0,0.714285714,0.142857143,11.42857143,0.714285714,-0.142857143,0.571428571,2,0,2,1,1,0,0,0,NA
Durham,697355,2524,276.2896197,2020-02-28,Friday,0,-1,-0.714285714,9.714285714,0.714285714,0.285714286,0.857142857,2,2,2,2,1,1,0,0,0
Durham,697355,2524,276.2896197,2020-02-29,Saturday,0,-1.142857143,-0.571428571,6.571428571,-0.857142857,0.285714286,1,2,4,2,2,2,1,1,0,0
Durham,697355,2524,276.2896197,2020-03-01,Sunday,0,-1,0,3,-2,0.285714286,1.142857143,2,5,2,2,2,2,1,1,0
Durham,697355,2524,276.2896197,2020-03-02,Monday,0,-1.142857143,0.285714286,0.285714286,-2.142857143,0.571428571,1.142857143,1,7,2,2,2,2,2,1,1
Durham,697355,2524,276.2896197,2020-03-03,Tuesday,0,-1.285714286,-0.714285714,-1.285714286,-2.857142857,0.857142857,1.285714286,1,14,1,2,2,2,2,2,1
Durham,697355,2524,276.2896197,2020-03-04,Wednesday,0,0.571428571,0.428571429,0.285714286,-2.142857143,2,0.714285714,0,21,1,1,2,2,2,2,2
Durham,697355,2524,276.2896197,2020-03-05,Thursday,0,3.142857143,3,5.714285714,-0.714285714,3.714285714,0,0,27,0,1,1,2,2,2,2
Durham,697355,2524,276.2896197,2020-03-06,Friday,2,4.428571429,3.857142857,7.857142857,-0.714285714,4.714285714,-0.428571429,2,26,0,0,1,1,2,2,2
Durham,697355,2524,276.2896197,2020-03-07,Saturday,2,4.714285714,3.714285714,11.28571429,-0.714285714,4.714285714,-0.571428571,4,30,2,0,0,1,1,2,2
Durham,697355,2524,276.2896197,2020-03-08,Sunday,1,4.571428571,3.428571429,19.28571429,-0.142857143,4.428571429,-0.571428571,5,43,4,2,0,0,1,1,2
